ID,Name (Nama Hidangan),Category (Kategori),Price (Harga RM),Stock Count (Stok),Available (Tersedia),Description (Penerangan),Image URL,Barcode,Created At,Updated At
"1012cc55-dc7e-4341-bfcf-7e0297a7cafe","SET MIX UDANG & SOTONG (BUTTERMILK)","Food","15.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"f3d37047-ee2c-4db6-a8e7-12cac6e89ab9","black paper ikan tator","Fish","12.00","Unlimited","No","","https://i.postimg.cc/nzQswHrx/IMG-20260530-161301-004.jpg","","2026-09-04T08:02:06.798285+00:00",""
"70f35d00-d035-45da-93a7-a92da6c878ac","Ayam Sahaja","Add-ons / Sampingan","6.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"51a03e4a-7664-4879-b5f8-51b849acff61","Geprek Sahaja","Add-ons / Sampingan","13.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"d3a7f2b6-199c-4bfe-a1f4-1321cdb2896e","Telur Mata","Add-ons / Sampingan","2.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"adddefb5-082e-4bb2-a54f-456beaa9223d","Popcorn","Add-ons / Sampingan","5.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"e69ccca5-06cd-4087-ac37-6a0c792281a8","Timun Sahaja","Add-ons / Sampingan","5.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"946713a5-6c3d-49b9-b8d4-9fcb076d06e7","Paha Sahaja","Add-ons / Sampingan","6.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"94bb306e-0819-4769-b6ea-53a4316225b8","Penyet Sahaja","Add-ons / Sampingan","12.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"cacfdf8e-d3b1-40b9-9972-3260a1fbb7f4","Popcorn Sahaja","Add-ons / Sampingan","8.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"c2a04428-7b71-463b-8718-356ce41733a7","Talapia Sahaja","Add-ons / Sampingan","13.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"19c71334-b403-4fa0-ae26-7d3c1edc0e88","Boulu & nasi Sahaja","Add-ons / Sampingan","10.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"eca30c72-7b51-4bb8-9b9d-43be0dec509e","Nasi Kosong","Add-ons / Sampingan","2.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"59df1543-16bf-4e86-97b4-4a9e040d3cc8","Nenas","Add-ons / Sampingan","3.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"cd82975e-dfb3-497c-9b23-71d3abd40158","Telur Dadar","Add-ons / Sampingan","2.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"f1a82f73-8a99-409c-b6c5-2fa9bdd9f48a","TELUR DADAR KRIWIL","Add-ons / Sampingan","8.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"160fda80-ff0f-40fd-87ec-499195e3cd0a","UDANG TIADA NASI","Add-ons / Sampingan","13.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"5df0da92-5396-413a-9695-b7fa4b32e2a3","ayam penyet double","Add-ons / Sampingan","20.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"6e913a7a-cd97-413f-8f86-cc6973986bf7","Telur Mata (Fried Egg)","Add-ons / Sampingan","1.50","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"146f1e77-a540-4305-9d21-2264cc13d847","Extra Sambal Special","Add-ons / Sampingan","1.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"f4d1c528-6260-412e-8dab-aeb85cc89ef3","Extra Nasi (Extra Rice)","Add-ons / Sampingan","1.50","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"60ba30ea-c26c-4815-a950-89cb74809ee3","Melted Cheese Slice","Add-ons / Sampingan","2.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"f9435475-b307-4890-9053-2037591231bf","Extra Soup Bowl","Add-ons / Sampingan","1.00","Unlimited","No","","","","2026-09-04T08:02:06.798285+00:00",""
"a7392604-21d5-416a-80d5-44f0db37c5b5","Kepingan Keju (Cheese)","Add-ons / Sampingan","2.00","Unlimited","No","","https://ilvbuhinmasmdsjcxfbn.supabase.co/storage/v1/object/public/menu-items/addon_ompazjwk6t.jpg","","2026-09-04T08:02:06.798285+00:00",""
